StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,261 - personal_1,261 - personal_2,261 - personal_3,261 - user query,261 - rating_12,261 - rating_13,261 - rating_14,261 - rating_15,261 - rating_16,261 - rating_17,297 - personal_1,297 - personal_2,297 - personal_3,297 - user query,297 - rating_1,297 - rating_2,297 - rating_3,297 - rating_4,297 - rating_5,297 - rating_12,244 - personal_1,244 - personal_2,244 - personal_3,244 - user query,244 - rating_12,244 - rating_13,244 - rating_14,244 - rating_15,244 - rating_16,244 - rating_17,238 - personal_1,238 - personal_2,238 - personal_3,238 - user query,238 - rating_1,238 - rating_2,238 - rating_3,238 - rating_4,238 - rating_5,238 - rating_12,Random ID,mistakes
2022-02-10 23:47:08,2022-02-10 23:56:06,0,198.14.29.44,100,538,1,2022-02-10 23:56:07,R_3Li5nJbtThRtquM,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,,,,,,5,5,5,folk remedies for cough,4,4,4,4,5,2,2,3,2,treatments for altitude sickness,4,4,5,5,4,3,4,4,4,old town Scottsdale,4,4,5,4,4,4,4,5,4,Biographies of George H. W. Bush,4,4,4,5,4,1,234220821550,3
2022-02-11 13:20:28,2022-02-11 14:08:45,0,76.115.1.182,100,2896,1,2022-02-11 14:08:47,R_11WMN70SSnOmsEI,,,,,45.5471954345703125,-122.64170074462890625,anonymous,EN,1,,0,5,,5,5,5,natural sore throat remedies,5,1,3,5,5,1,2,2,2," altitude sickness prevention",5,3,4,5,5,1,5,2,4,Old town Scottsdale history,5,3,5,4,4,1,4,1,5,George HW Bush biographies,3,5,2,5,5,1,171215504431,0
2022-02-11 13:31:11,2022-02-11 13:34:35,0,67.249.189.129,31,204,0,2022-02-11 14:31:14,R_22KNcEn53FNwHFv,,,,,,,anonymous,EN,1,,0,0,,2,1,4,folk remedies/sore throat,5,4,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789699504943,0
2022-02-14 00:41:44,2022-02-14 00:44:18,0,208.195.31.91,100,153,1,2022-02-14 00:44:18,R_3JzuHSx34Lbo02D,,,,,35.332000732421875,-78.92120361328125,anonymous,EN,0.89999997615814208984375,,0,0,,2,3,2,GOOD,1,3,4,5,3,2,1,2,3,GOOD,2,5,4,2,3,4,1,2,3,GOOD,2,2,3,2,3,4,1,2,3,GOOD,4,2,4,3,4,2,932507664454,4
2022-02-14 02:37:12,2022-02-14 02:40:38,0,71.234.226.108,100,206,1,2022-02-14 02:40:39,R_3npXkVMPtBwFHlK,,,,,42.456695556640625,-71.37470245361328125,anonymous,EN,0.89999997615814208984375,,0,0,,1,3,4,What are folk remedies for a sore throat,5,2,1,5,5,1,1,3,4,"What are techniques for preventing altitude sickness ",5,2,5,4,4,1,1,2,4,What is the history of Old Town Scottsdale AZ,4,2,5,4,4,1,1,2,5,what are biographies on George H W Bush,3,5,1,5,5,1,836869887751,0
2022-02-14 02:37:20,2022-02-14 02:55:03,0,70.120.139.160,100,1063,1,2022-02-14 02:55:05,R_DpjWJWox61WtRND,,,,,32.925994873046875,-96.9665985107421875,anonymous,EN,0.89999997615814208984375,,0,0,,5,5,5,home remedies for sore and swollen throat,5,3,1,3,4,1,5,5,5,how to prevent high altitude sickness in Mexico City,5,3,3,4,5,1,4,5,5,history of Old Town Scottsdale Arizona,5,3,5,4,4,1,5,5,5,Biography of US President George H. W. Bush,3,5,2,5,5,1,736645325343,0
2022-02-14 03:45:06,2022-02-14 03:48:20,0,99.12.77.50,100,194,1,2022-02-14 03:48:20,R_2CCcWfpwOjpFi0w,,,,,34.84930419921875,-82.4040985107421875,anonymous,EN,1,,0,0,,4,4,4,how to fix sore throat,5,3,3,4,5,1,4,4,5,prevent altitude sickness,5,4,5,4,4,1,4,4,5,history of scottsdale az,5,4,5,4,4,1,4,3,5,George H. W. Bush biographies,3,5,2,5,4,1,924377032299,0
2022-02-14 06:51:31,2022-02-14 06:57:31,0,109.81.209.92,100,360,1,2022-02-14 06:57:33,R_3Du89q1tqnAJrEL,,,,,49.8491058349609375,18.2696075439453125,anonymous,EN,0.89999997615814208984375,,0,0,,4,5,5,sore throat home remedies can't swallow,5,1,5,4,4,1,1,3,3,how to deal with altitude sickness while travelling,4,3,4,5,5,3,1,4,3,Old Town Scottsdale Arizona Highway 17 History,5,1,5,4,4,1,3,4,5,Top ten recommended biographies on George H.W. Bush,2,4,1,5,5,1,400690681324,1
2022-02-14 10:48:15,2022-02-14 10:55:08,0,72.79.120.187,100,412,1,2022-02-14 10:55:08,R_3NWXC0WPApEkGXO,,,,,40.76409912109375,-74.16539764404296875,anonymous,EN,0.800000011920928955078125,,0,0,,5,5,5,home remedies for a sore throat,5,1,1,5,5,1,4,2,4,how to prevent and treat altitude sickness,5,2,5,5,5,1,5,4,5,"the history of old town Scottsdale, AZ",5,4,5,1,4,1,5,1,5,President George H. W. Bush biographies,1,5,1,5,5,1,684575667325,4
2022-02-14 11:21:08,2022-02-14 11:25:07,0,70.171.9.199,100,238,1,2022-02-14 11:25:07,R_1Cm9yOdjxx6B0SC,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,1,,0,0,,5,5,5,sore throat relief,5,5,2,5,5,1,5,5,5,altitude sickness relief,5,5,5,5,5,1,3,5,5,old town scottsdale history,5,5,5,5,5,1,5,3,5,us president george h. w. bush facts,5,5,2,5,5,1,356693205516,0
2022-02-14 11:19:43,2022-02-14 11:25:20,0,45.144.80.95,100,336,1,2022-02-14 11:25:20,R_21gfhTdHttA713Q,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,0.89999997615814208984375,,0,75,,2,4,4,home remedy diy cough drops sore throat cure,5,2,4,5,5,1,4,3,5,Prevent altitude sickness with medication.,5,1,4,2,5,1,2,4,3,Old Town Scottsdale history AZ,5,2,5,2,3,1,4,2,4,George H W Bush biographies wikipedia,3,5,2,5,5,1,905644340161,0
2022-02-14 11:23:04,2022-02-14 11:25:35,0,71.199.248.207,100,151,1,2022-02-14 11:25:36,R_2snlkY65EInigud,,,,,30.3668060302734375,-81.58730316162109375,anonymous,EN,0.89999997615814208984375,,0,0,,4,4,4,how to treat a sore throat,5,3,2,4,5,1,1,1,1,how to prevent altitude sickness,5,4,3,3,5,2,1,1,1,history of Old Town Scottsdale,5,4,5,4,4,1,4,4,4,biography about George H.W. Bush,4,5,3,5,5,1,777030117902,1
2022-02-14 11:21:59,2022-02-14 11:25:57,0,65.25.90.80,100,238,1,2022-02-14 11:25:58,R_2bQ6D8swhdinI6w,,,,,41.3721923828125,-82.10870361328125,anonymous,EN,1,,0,0,,5,3,4,"Home remedies for sore throat ",5,4,5,4,5,1,3,4,4,Altitude sickness remedies,5,5,5,5,5,2,3,5,5,Scottsdale Old Town history,5,3,5,4,5,1,3,3,5,"George W Bush biography ",5,5,3,5,4,1,918689734977,1
2022-02-14 11:21:03,2022-02-14 11:27:04,0,66.190.98.245,100,360,1,2022-02-14 11:27:04,R_2yqm0MhQZ2ikg2o,,,,,32.782196044921875,-97.4969024658203125,anonymous,EN,1,,0,0,,2,3,5,homeopathic remedies for sore throat,5,2,4,4,5,1,1,3,4,medicine to combat altitude sickness,5,2,5,5,5,1,1,4,4,"history of scottsdale, arizona",4,4,5,5,4,1,4,4,4,Latest biographies on George Herbert Walker Bush available on Amazon,5,5,2,5,4,1,902602500561,0
2022-02-14 11:23:20,2022-02-14 11:27:18,0,174.67.203.139,100,237,1,2022-02-14 11:27:18,R_1d67zEvFMWBm9V6,,,,,33.4600982666015625,-117.6381988525390625,anonymous,EN,1,,0,20,,5,3,5,sore throat home remedy,5,3,5,4,5,1,4,2,5,altitude sickness prevention,5,4,5,5,5,1,1,1,4,old town scottsdale history,5,4,5,3,5,1,4,1,5,George HW Bush biography,4,5,3,5,5,1,525818829401,0
2022-02-14 11:24:47,2022-02-14 11:27:19,0,173.80.212.22,100,152,1,2022-02-14 11:27:20,R_eFppTBNHOWtImkh,,,,,37.847900390625,-81.99610137939453125,anonymous,EN,1,,0,0,,2,3,3,home remedy for sore throat,5,5,5,5,5,1,4,3,4,what to do to prevent altitude sickness on long flight,5,5,5,5,4,1,1,4,4,history on old town scottsdale arizona,5,5,5,5,5,1,2,2,2,"facts about former president george bush ",5,5,5,5,5,1,397327328054,0
2022-02-14 11:25:07,2022-02-14 11:28:30,0,216.218.112.43,100,203,1,2022-02-14 11:28:31,R_uyoBrPWqPo3jSWR,,,,,45.5496063232421875,-122.8292999267578125,anonymous,EN,1,,0,0,,4,4,4,folk remedies for sore throat,5,3,4,4,5,1,1,1,4,treatments for altitude sickness,5,3,5,5,5,2,1,1,4,Old Town Scottsdale town history,5,4,5,3,5,1,2,1,4,George H. W. Bush biographies,3,5,3,5,4,1,762325464794,1
2022-02-14 11:26:03,2022-02-14 11:29:11,0,76.216.170.247,100,187,1,2022-02-14 11:29:11,R_1C74XgNP3XWWko0,,,,,33.19549560546875,-117.28620147705078125,anonymous,EN,1,,0,0,,5,5,5,home remedy for sore throat,5,2,5,4,5,1,2,4,4,high altitude sickness remedy,5,4,5,5,5,1,1,4,4,old town scottsdale history,5,5,5,4,5,1,5,5,5,George bush biography,4,5,5,5,5,1,825565621885,0
2022-02-14 11:22:07,2022-02-14 11:29:27,0,67.161.152.14,100,439,1,2022-02-14 11:29:27,R_1Ks6n5iU37AIqkq,,,,,40.1305999755859375,-104.95040130615234375,anonymous,EN,1,,0,5,,4,4,5,Natural Home Remedies Sore Throat,5,3,4,4,5,1,2,4,4,Mexico City Altitude Sickness,4,3,4,4,5,4,1,3,4,Old Town Scottsdale History,5,3,5,3,4,1,2,4,5,"George HW Bush Biographies ",3,5,2,5,5,1,187501453235,1
2022-02-14 11:19:47,2022-02-14 11:29:51,0,208.203.219.233,100,604,1,2022-02-14 11:29:52,R_2roQXJL9KVvfJSY,,,,,41.8314971923828125,-72.7198028564453125,anonymous,EN,1,,0,0,,5,5,2,SLEEP,4,3,4,5,3,3,3,4,4,MECICO CITY,4,4,5,4,2,4,5,2,4,DRIVNG,4,3,5,4,4,4,4,3,4,GOOGLE,4,4,3,5,4,4,121220712992,4
2022-02-14 11:26:12,2022-02-14 11:30:38,0,98.223.1.30,100,266,1,2022-02-14 11:30:38,R_OfbvIMGfXfKXmYF,,,,,42.0048065185546875,-87.99539947509765625,anonymous,EN,0.89999997615814208984375,,0,0,,4,1,5,sore throat home remedies,5,4,4,4,5,1,1,2,5,how to avoid altitude sickness,5,3,3,5,4,2,1,4,4,Scottsdale Az history,5,2,5,3,4,1,4,5,5,George H. W. Bush,5,5,3,4,2,1,617989357467,1
2022-02-14 11:25:27,2022-02-14 11:31:28,0,68.11.25.137,100,361,1,2022-02-14 11:31:29,R_PIq6LcAFkqwMdTH,,,,,29.93170166015625,-90.10260009765625,anonymous,EN,1,,0,0,,4,4,5,folk or home remedies for sore throat,5,3,3,5,5,1,4,4,4,treatments for altitude sickness,5,4,4,4,5,3,1,3,5,history of Old Town Scottsdale,5,4,5,4,4,1,4,2,5,biographies of George H. W. Bush,3,5,2,5,5,1,234340892313,1
